id;name;type;subtype;is_active;location_country;ville;nb_evenements;nb_membres;certifie;creation;code_insee
https://actionpopulaire.fr/groupes/13856755-61b7-4a44-a879-ca5ddd38b469/accueil/;Équipe De Soutien Saintes;Soutien Nous Sommes Pour;66;TRUE;FR;17100 Saintes;NA;8;FALSE;Créé il y a 3 mois;17
https://actionpopulaire.fr/groupes/13a1b15a-8bc3-4028-a46a-e9039be5409b/accueil/;Jeunes Insoumis·es De Stains;Thématique;33;FALSE;FR;93240 Stains;NA;3;TRUE;Créé il y a 3 ans;93
https://actionpopulaire.fr/groupes/13b5ae1a-7420-4eba-8793-30170a58ffbc/accueil/;Le Journal Local Insoumis;Fonctionnel;45;FALSE;FR;39000 Lons Le Saunier;3;17;FALSE;Créé il y a 3 ans;39
https://actionpopulaire.fr/groupes/13c6b2eb-ee1b-48da-bf84-ec286d1d7b27/accueil/;Besak En Commun - Soutien L’avenir En Commun;Soutien Nous Sommes Pour;66;TRUE;FR;25000 Besançon;1;2;FALSE;Créé il y a 3 mois;25
https://actionpopulaire.fr/groupes/13cc2796-99ca-4fd1-b363-9dae35c352e1/accueil/;Les Morcenais;Local;1;TRUE;FR;40110 morcenx;14;16;TRUE;Créé il y a 3 ans;40
https://actionpopulaire.fr/groupes/13d11d98-5f47-42fb-9a4c-b6b6614f4fac/accueil/;Comité D'appui De Tourcoing;Fonctionnel;58;FALSE;FR;59200 Tourcoing;45;23;TRUE;Créé il y a 2 ans;59
https://actionpopulaire.fr/groupes/14118ef0-0bd6-4db0-9ce8-0228c697fb4a/accueil/;Ecologie;Thématique;29;FALSE;FR;13002 MARSEILLE;11;18;FALSE;Créé il y a 3 ans;13
https://actionpopulaire.fr/groupes/142cfb27-cade-4401-a0bd-0b7f9dbd63c0/accueil/;Cuges Insoumis;Local;1;FALSE;FR;13780 Cuges-les-Pins;6;9;TRUE;Créé il y a 3 ans;13
https://actionpopulaire.fr/groupes/14398841-be8d-4f05-b65e-942e68434f7d/accueil/;Lyon Insoumis Antifasciste Et Antiraciste;Thématique;15;FALSE;FR;69001 Lyon;NA;13;FALSE;Créé il y a 9 mois;69
https://actionpopulaire.fr/groupes/146e8762-325c-4beb-b4e6-dfe964df734b/accueil/;Groupe Insoumis Anzin;Local;1;TRUE;FR;59410 ANZIN;2;2;FALSE;Créé il y a 2 mois;59
https://actionpopulaire.fr/groupes/147d765b-d564-46ca-bfbe-b9038a26257e/accueil/;Groupe D'action Plateau;Local;1;FALSE;FR;94190 villeneuve saint georges;11;6;TRUE;Créé il y a 3 ans;94
https://actionpopulaire.fr/groupes/14812c40-0d19-4612-bd94-73d86e78acd5/accueil/;Equipe Des Asphodeles;Soutien Nous Sommes Pour;66;TRUE;FR;76620 LE HAVRE;NA;1;FALSE;Créé il y a 3 mois;76
https://actionpopulaire.fr/groupes/149b57ea-d6bf-4b42-a99d-6a153585423e/accueil/;Trevaresse;Local;1;FALSE;FR;13840 Rognes;2;30;TRUE;Créé il y a 3 ans;13
https://actionpopulaire.fr/groupes/14c65d23-3f77-4a86-bec5-919c8fd8aec8/accueil/;Groupe D'action Ecolo Du 94 Et Du 77;Thématique;38;FALSE;FR;94210 Saint Maur des fossés;NA;1;FALSE;Créé l’année dernière;94
